[2025-04-24 22:13:02,116] INFO | Watching for file changes with StatReloader
[2025-04-24 22:13:23,911] INFO | Début de requête: {"method": "GET", "path": "/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:13:23,965] INFO | Fin de requête: {"status_code": 200, "duration": "0.0582 secondes", "method": "GET", "path": "/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:13:23,967] INFO | "GET / HTTP/1.1" 200 8821
[2025-04-24 22:13:24,136] INFO | "GET /static/img/sushi.jpeg HTTP/1.1" 304 0
[2025-04-24 22:13:24,137] INFO | "GET /static/img/Ramen.jpg HTTP/1.1" 304 0
[2025-04-24 22:13:24,290] INFO | "GET /static/img/c.jpg HTTP/1.1" 304 0
[2025-04-24 22:13:24,290] INFO | "GET /static/img/menu.jpg HTTP/1.1" 304 0
[2025-04-24 22:13:24,302] INFO | "GET /static/img/magi.jpg HTTP/1.1" 304 0
[2025-04-24 22:13:24,303] INFO | "GET /static/img/bateau.jpg HTTP/1.1" 304 0
[2025-04-24 22:13:24,306] INFO | "GET /static/img/1.png HTTP/1.1" 304 0
[2025-04-24 22:13:24,306] INFO | "GET /static/img/Saumon.png HTTP/1.1" 304 0
[2025-04-24 22:16:22,931] INFO | Début de requête: {"method": "GET", "path": "/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:22,935] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:22,939] INFO | "GET / HTTP/1.1" 200 8821
[2025-04-24 22:16:24,550] INFO | Début de requête: {"method": "GET", "path": "/menu/promotions/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,566] INFO | Fin de requête: {"status_code": 200, "duration": "0.0155 secondes", "method": "GET", "path": "/menu/promotions/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,567] INFO | "GET /menu/promotions/ HTTP/1.1" 200 5971
[2025-04-24 22:16:24,619] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_154354.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,620] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152759.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,696] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_155630.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,697] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152624.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,895] INFO | Fin de requête: {"status_code": 200, "duration": "0.2760 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_154354.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,902] INFO | Fin de requête: {"status_code": 200, "duration": "0.2820 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152759.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,905] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_154354.png HTTP/1.1" 200 259708
[2025-04-24 22:16:24,909] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_152759.png HTTP/1.1" 200 253925
[2025-04-24 22:16:24,920] INFO | Fin de requête: {"status_code": 200, "duration": "0.2230 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_152624.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,922] INFO | Fin de requête: {"status_code": 200, "duration": "0.2260 secondes", "method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_155630.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:24,929] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_155630.png HTTP/1.1" 200 175300
[2025-04-24 22:16:24,930] INFO | "GET /media/plats/Capture_d%C3%A9cran_2025-04-07_152624.png HTTP/1.1" 200 280438
[2025-04-24 22:16:32,748] INFO | Début de requête: {"method": "GET", "path": "/menu/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,918] INFO | Fin de requête: {"status_code": 200, "duration": "0.1700 secondes", "method": "GET", "path": "/menu/", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,919] INFO | "GET /menu/ HTTP/1.1" 200 168075
[2025-04-24 22:16:32,965] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_1.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,966] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_2.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,968] INFO | Fin de requête: {"status_code": 200, "duration": "0.0020 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_2.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,969] INFO | Fin de requête: {"status_code": 200, "duration": "0.0040 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_1.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:32,969] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_2.jpg HTTP/1.1" 200 10849
[2025-04-24 22:16:32,971] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_1.jpg HTTP/1.1" 200 6643
[2025-04-24 22:16:33,007] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_3.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,009] INFO | Fin de requête: {"status_code": 200, "duration": "0.0020 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_3.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,010] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_3.jpg HTTP/1.1" 200 6854
[2025-04-24 22:16:33,023] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_4.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,024] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_5.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,025] INFO | Début de requête: {"method": "GET", "path": "/media/plats/images.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,027] INFO | Début de requête: {"method": "GET", "path": "/media/plats/images_1.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,028] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_6.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,030] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_7.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,032] INFO | Fin de requête: {"status_code": 200, "duration": "0.0080 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_5.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,032] INFO | Fin de requête: {"status_code": 200, "duration": "0.0070 secondes", "method": "GET", "path": "/media/plats/images.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,033] INFO | Fin de requête: {"status_code": 200, "duration": "0.0100 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_4.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,034] INFO | Fin de requête: {"status_code": 200, "duration": "0.0070 secondes", "method": "GET", "path": "/media/plats/images_1.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,035] INFO | Fin de requête: {"status_code": 200, "duration": "0.0060 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_6.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,035] INFO | Fin de requête: {"status_code": 200, "duration": "0.0050 secondes", "method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_7.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,036] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_5.jpg HTTP/1.1" 200 7686
[2025-04-24 22:16:33,038] INFO | "GET /media/plats/images.jpg HTTP/1.1" 200 8490
[2025-04-24 22:16:33,039] INFO | "GET /media/plats/images_1.jpg HTTP/1.1" 200 8289
[2025-04-24 22:16:33,039] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_4.jpg HTTP/1.1" 200 12492
[2025-04-24 22:16:33,041] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_6.jpg HTTP/1.1" 200 8012
[2025-04-24 22:16:33,043] INFO | Début de requête: {"method": "GET", "path": "/media/plats/t\u00e9l\u00e9chargement_8.jpg", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
[2025-04-24 22:16:33,044] INFO | "GET /media/plats/t%C3%A9l%C3%A9chargement_7.jpg HTTP/1.1" 200 11569
[2025-04-24 22:16:33,046] INFO | Début de requête: {"method": "GET", "path": "/media/plats/Capture_d\u00e9cran_2025-04-07_143323.png", "user": "AnonymousUser", "ip_address": "127.0.0.1"}
